vessel_type,dwt,speed,load_factor,sea_state,wind_speed,fuel_type,distance_nm,fuel_consumption_tonnes
tanker,69354.00944550429,11.951099565400298,0.9588171272735021,10,17.485185331126765,Hydrogen,2023.2200854182677,601.5425931563454
pctc,200563.6716653825,7.056144861787914,0.991405415784395,1,7.250189250468663,Ammonia,2475.1025540804076,720.0133694004264
pctc,231224.14848932988,11.041369322261565,0.8498497883495022,3,6.44237309494229,Methanol,9398.943686064857,5397.450753625675
container,54157.66219339995,21.134127045996166,0.4994955174619774,1,0.5606095113316112,Methanol,10777.443630116784,8639.395672446304
container,17938.19360828521,14.869590660382846,0.5926684402656143,5,58.70138106013712,HFO,11434.16316438578,2278.068624328245
roro,134678.27571389492,8.431455510998827,0.5529762787048252,3,39.30485413108315,Hydrogen,8020.594263243639,1178.7009282291053
tanker,233337.10536776893,11.252647451598762,0.24010005289595437,10,19.274227152348473,Ammonia,9205.641280733606,8507.594452367219
pctc,196980.05149437208,24.071625593472127,0.8689727539228278,9,34.74471582720293,HFO,14630.98181695041,56737.14848890832
bulker,212055.10752230443,13.63914976197253,0.7082118432343415,11,37.14443699588378,LNG,5549.409470214289,6740.978871789316
tanker,123837.60529804368,13.831985096121862,0.6741420545700555,5,10.975737576660066,Methanol,3605.466115460022,2524.7850835126983
container,74308.93584965561,8.061392040884265,0.29829805150283106,6,17.33209089321344,Methanol,14550.35448460007,2344.4132745574902
roro,161874.7587689598,11.091086092285696,0.23784336889123983,11,32.83666523722695,Methanol,13822.062386202027,8974.093598132375
pctc,65287.87965601308,21.293722658800927,0.8857238293310943,9,50.38766996446541,HFO,602.7453658991581,845.7560917699307
pctc,219237.4656105944,20.723979488065265,0.26147255375999334,12,7.7753199109285305,Methanol,6327.267402843945,19333.719732933547
pctc,63105.104508045726,13.709975978860964,0.1663466210715277,12,51.50014471417064,Methanol,11155.222165682588,5488.901637087095
pctc,90922.66368073072,22.87304524314249,0.6630446810167204,0,36.53916652277916,HFO,3073.2389848785574,3562.273014950519
container,154430.7096052866,12.605178341256448,0.7339089315785716,3,29.379560651219904,Hydrogen,962.5448274486782,359.3946181801194
tanker,148579.430572331,22.28659159643868,0.2076601692802078,9,8.636423993095981,Ammonia,1028.192670845212,2809.1684723583835
roro,182250.56604007367,5.631311011694054,0.2861734647870863,1,32.99423141894917,HFO,8689.51169968038,891.8975868555277
container,134046.15714747552,11.944605804594215,0.8098874155553853,1,21.217896465780065,HFO,3839.044386920657,1574.3565526050763
container,276244.62601047696,22.101369560396705,0.9366266797610684,1,11.338029941259023,Methanol,4239.379817034622,12450.772259156203
bulker,252780.55778817052,23.026191229486564,0.528839845335838,0,52.79840677805344,Hydrogen,719.6832775590384,1243.959083410623
tanker,264338.4681148083,20.12848082440765,0.8128044755671602,8,27.634359045765088,HFO,11025.593504323255,27373.644924996697
roro,190707.38856401408,18.397316337914013,0.3874601060911721,3,4.7853619336157305,Ammonia,12732.60769500104,20418.74505454946
pctc,192327.33517893788,21.310098189245984,0.7329105466606101,12,18.128321529125827,Methanol,11136.11297423656,40908.138761460374
pctc,184713.61169620484,19.151163764442586,0.6014984134793219,1,10.890292808594983,HFO,2476.113544200915,3453.844948528783
container,133290.82555432958,10.084419089303566,0.8588898222206433,5,56.35470993006769,Methanol,14379.792165153542,5933.904098700128
roro,100021.27031484248,14.32473801389728,0.7983109862661119,8,14.583718272771833,Methanol,14450.932760112462,12340.47877691179
container,179640.85179741675,18.214099957723192,0.35572229360717833,4,30.38380245370345,LNG,4257.396729744857,4308.244366408051
container,12531.89195584284,16.756055142366087,0.234509698854224,9,44.731349467218635,Methanol,14754.50640163939,3675.684173983084
container,7199.647270021895,22.70195214246121,0.8268910953169478,10,9.510652578373705,LNG,6940.784287494696,2185.3631722562936
bulker,256234.33875754083,14.476892807756567,0.12951331389569223,8,26.24925573638385,Ammonia,1104.357769754829,1625.42565810131
tanker,18695.093209398547,8.559747560464126,0.711134931166074,7,39.19688416458919,LNG,8843.35374262864,584.1351703452518
container,159814.56934835832,9.291640748257633,0.5283228197234237,7,52.91722346206694,Ammonia,8137.234095168247,3832.268004187253
roro,186421.3900701453,21.921131177185813,0.16776937506413997,12,39.24619033034698,Ammonia,12945.272818979316,47403.24218121358
tanker,63460.512738618505,5.17441908446224,0.7197050999559663,10,4.80503088603464,Methanol,5657.260004735754,468.84934405078053
roro,269240.59728821873,22.382607239936675,0.5345866781188213,0,19.29368778673188,HFO,11616.190406936157,23957.840112919963
roro,61078.252665770626,6.111761712079695,0.8740911972199116,10,21.05593211189793,Ammonia,11907.514740010602,2036.636934684887
bulker,265931.921273169,12.833169361788109,0.28776873619963383,2,23.296406953786693,Methanol,1006.7810025979657,741.4353554283437
pctc,230082.12945324538,21.00352454891258,0.10206961465135118,11,56.497112353519796,LNG,10260.570289644047,22191.668956605798
tanker,76019.17128963722,13.15230753644798,0.217438136075709,4,2.142201129583392,HFO,7452.345838340275,2381.9450354739984
pctc,49469.5290514476,21.44696374108105,0.342649029539697,9,18.130416863085983,LNG,3435.202929650853,2795.194429314833
pctc,98288.64950493936,7.005976690515663,0.6870199315738557,9,29.54735528000906,Hydrogen,6544.971165011596,767.9488777081561
bulker,122395.41704973104,15.230844528703729,0.42637890476421614,4,5.183761454665737,Methanol,12929.661716693174,9984.04342146368
tanker,77506.47956718241,16.649480359980185,0.20642222197476492,12,29.012277643845678,HFO,10501.703202453782,8729.671122870106
roro,299673.00688255485,22.81737194474482,0.9834161168526983,6,6.4277350326330644,Hydrogen,9594.347825541943,22764.580165347823
container,72747.4391906764,6.872428126783867,0.19740470069034777,5,50.26693288194423,LNG,1681.9493761002989,115.30392951576263
roro,250037.2739599428,11.772013705659951,0.41960830872999133,6,16.20506351209357,HFO,10166.735905270703,7682.480665625918
pctc,51939.735391689464,18.18696189793677,0.888943830842553,4,31.380670950313345,Hydrogen,11498.613399107064,4702.053288716335
